mes,Dato_usuarios,Acum_usuarios,Dato_descargas_app,Acum_descargas_app,Dato_búsquedas,Acum_búsquedas,Dato_recurrencia,Acum_recurrencia,Dato_proyectos,Acum_proyectos,Dato_usuarios_por_proyecto,Acum_usuarios_por_proyecto,Dato_información,Acum_información,Dato_red,Acum_red,Dato_recursos,Acum_recursos,Dato_relaciones,Acum_relaciones,Dato_perfiles_referentes,Acum_perfiles_referentes,Dato_organizaciones,Acum_organizaciones,Dato_personas,Acum_personas,Dato_búsqueda_de_empleo,Acum_búsqueda_de_empleo,Dato_retos,Acum_retos,Dato_actualidad,Acum_actualidad,Dato_ayudas_y_subvenciones,Acum_ayudas_y_subvenciones,Dato_eventos,Acum_eventos,Dato_formación_y_prácticas,Acum_formación_y_prácticas,Dato_orientación_laboral,Acum_orientación_laboral,Dato_ofertas_de_empleo,Acum_ofertas_de_empleo,Dato_conversaciones,Acum_conversaciones,Dato_grupos,Acum_grupos,Dato_conversaciones_privadas,Acum_conversaciones_privadas,Dato_mensajes,Acum_mensajes,Dato_contenido_compartido_en_conversaciones,Acum_contenido_compartido_en_conversaciones,Dato_conversaciones_de_participación,Acum_conversaciones_de_participación,Dato_usuarios_por_conversación,Acum_usuarios_por_conversación,Dato_calidad_media_del_mensaje,Acum_calidad_media_del_mensaje,Dato_canales,Acum_canales,Dato_suscritos_a_canales,Acum_suscritos_a_canales,Dato_contenido_compartido_en_canales,Acum_contenido_compartido_en_canales,Dato_asistentes_a_eventos,Acum_asistentes_a_eventos,Dato_campañas,Acum_campañas,Dato_acciones,Acum_acciones,Dato_visitas,Acum_visitas,Dato_visitas_a_proyectos,Acum_visitas_a_proyectos,Dato_visitas_a_red,Acum_visitas_a_red,Dato_oportunidades,Acum_oportunidades,Dato_actividades,Acum_actividades,Dato_usuarios_por_actividad,Acum_usuarios_por_actividad
Mayo 2023,22,84,2,10,211,1676,0.5595,0.5595,0,9,5.78,5.78,35,274,21,90,14,184,4,24,9,10,1,7,20,74,0,9,0,0,6,91,2,30,4,22,2,27,0,10,0,4,13,66,0,11,13,55,423,1524,5,21,0,0,2.76,2.76,0.6837000000000001,0.6837000000000001,0,9,7,27,12,431,0,0,0,0,0,0,6677,231456,428,36473,1020,25051,0,0,0,1,8,8
Junio 2023,35,119,1,11,251,1927,0.5042,0.5042,2,11,5.45,5.45,58,332,47,137,11,195,12,36,0,10,14,21,34,108,-1,8,0,0,10,101,0,30,0,22,1,28,0,10,0,4,6,72,0,11,6,61,245,1769,1,22,0,0,2.76,2.76,0.6624,0.6624,0,9,3,30,11,442,0,0,0,0,0,0,6826,238282,291,36764,1120,26171,0,0,0,1,8,8
Julio 2023,60,179,2,13,414,2341,0.5531,0.5531,4,15,6.87,6.87,86,418,66,203,20,215,68,104,0,10,13,34,52,160,1,9,0,0,5,106,2,32,1,23,12,40,0,10,0,4,192,264,6,17,186,247,1592,3361,2,24,0,0,2.36,2.36,0.604,0.604,0,9,5,35,14,456,0,0,0,0,0,0,17724,256006,2770,39534,3823,29994,0,0,0,1,9,9
Agosto 2023,48,227,2,15,140,2481,0.326,0.326,0,15,8.27,8.27,54,472,53,256,1,216,20,124,0,10,11,45,42,202,0,9,0,0,0,106,0,32,0,23,1,41,0,10,0,4,8,272,2,19,6,253,82,3443,9,33,0,0,2.41,2.41,0.6029,0.6029,0,9,6,41,0,456,0,0,0,0,0,0,4023,260029,331,39865,753,30747,0,0,0,1,11,11
Septiembre 2023,66,293,4,19,319,2800,0.413,0.413,3,18,8.83,8.83,59,531,59,315,0,216,16,140,0,10,5,50,54,256,0,9,0,0,0,106,0,32,0,23,0,41,0,10,0,4,13,285,4,23,9,262,301,3744,9,42,0,0,2.45,2.45,0.599,0.599,0,9,7,48,0,456,0,0,0,0,0,0,9443,269472,474,40339,928,31675,0,0,0,1,13,13
Octubre 2023,0,293,2,21,159,2959,0.1229,0.1229,0,18,9.0,9.0,3,534,2,317,1,217,0,140,0,10,1,51,1,257,0,9,0,0,1,107,0,32,0,23,0,41,0,10,0,4,10,295,0,23,10,272,414,4158,0,42,0,0,2.44,2.44,0.5954,0.5954,0,9,4,52,0,456,0,0,0,0,0,0,6498,275970,303,40642,632,32307,0,0,0,1,13,13
Noviembre 2023,3,296,0,21,219,3178,0.1081,0.1081,1,19,8.84,8.84,6,540,2,319,4,221,0,140,0,10,1,52,1,258,0,9,0,0,4,111,0,32,0,23,0,41,0,10,0,4,13,308,1,24,12,284,290,4448,0,42,0,0,2.42,2.42,0.6052000000000001,0.6052000000000001,0,9,2,54,0,456,0,0,0,0,0,0,6379,282349,157,40799,1137,33444,0,0,0,1,13,13
Diciembre 2023,1,297,0,21,116,3294,0.09759999999999999,0.09759999999999999,1,20,8.5,8.5,16,556,4,323,12,233,1,141,8,18,0,52,2,260,2,11,0,0,12,123,0,32,0,23,0,41,0,10,0,4,6,314,1,25,5,289,171,4619,0,42,0,0,2.42,2.42,0.6085,0.6085,0,9,0,54,21,477,0,0,0,0,0,0,4177,286526,190,40989,604,34048,0,0,0,1,13,13
Enero 2024,31,328,3,24,157,3451,0.2683,0.2683,-2,18,11.44,11.44,98,654,32,355,66,299,45,186,2,20,2,54,31,291,-1,10,0,0,49,172,8,40,7,30,1,42,1,11,0,4,45,359,1,26,44,333,-558,4061,9,51,0,0,2.41,2.41,0.6185,0.6185,0,9,5,59,78,555,1,1,0,0,0,0,6435,292961,444,41433,1247,35295,0,0,-1,0,0,0
Febrero 2024,220,548,10,34,565,4016,0.6405,0.6405,1,19,15.37,15.37,245,899,198,553,47,346,294,480,-2,18,12,66,185,476,1,11,0,0,32,204,4,44,9,39,2,44,0,11,0,4,518,877,3,29,515,848,1299,5360,20,71,0,0,3.11,3.11,0.7005,0.7005,0,9,64,123,59,614,0,1,0,0,0,0,13031,305992,434,41867,3129,38424,0,0,0,0,0,0
